source,destination,distance,capacity
Tughlakabad,Badarpur,14,117
Tughlakabad,Okhla Phase 2,9,128
Badarpur,Okhla Phase 2,8,67
Badarpur,Jamia Nagar,7,58
Okhla Phase 2,Jamia Nagar,14,62
Okhla Phase 2,Batla House,8,130
Jamia Nagar,Batla House,13,135
Jamia Nagar,Abul Fazal Enclave,5,130
Batla House,Abul Fazal Enclave,4,124
Batla House,Shaheen Bagh,9,66
Abul Fazal Enclave,Shaheen Bagh,11,96
Abul Fazal Enclave,Kalindi Kunj,14,134
Shaheen Bagh,Kalindi Kunj,2,82
Shaheen Bagh,Noida Sector 15,2,135
Kalindi Kunj,Noida Sector 15,4,79
Kalindi Kunj,Noida Sector 18,12,127
Noida Sector 15,Noida Sector 18,9,140
Noida Sector 15,Noida Sector 62,12,62
Noida Sector 18,Noida Sector 62,4,130
Noida Sector 18,Ghaziabad,2,74
Noida Sector 62,Ghaziabad,5,73
Noida Sector 62,Indirapuram,5,108
Ghaziabad,Indirapuram,5,102
Ghaziabad,Vaishali,11,87
Indirapuram,Vaishali,6,133
Indirapuram,Kaushambi,10,100
Vaishali,Kaushambi,6,65
Vaishali,Crossings Republik,3,133
Kaushambi,Crossings Republik,7,133
Kaushambi,Loni,12,109
Crossings Republik,Loni,10,115
Crossings Republik,Sahibabad,15,50
Loni,Sahibabad,12,75
Loni,Faridabad,12,75
Sahibabad,Faridabad,4,67
Sahibabad,Ballabgarh,14,143
Faridabad,Ballabgarh,11,96
Faridabad,Gurgaon Sector 14,13,134
Ballabgarh,Gurgaon Sector 14,12,94
Ballabgarh,Cyber City,3,88
Gurgaon Sector 14,Cyber City,2,68
Gurgaon Sector 14,MG Road Gurgaon,5,64
Cyber City,MG Road Gurgaon,5,82
Cyber City,DLF Phase 3,2,145
MG Road Gurgaon,DLF Phase 3,8,129
MG Road Gurgaon,DLF Phase 5,14,140
DLF Phase 3,DLF Phase 5,9,117
DLF Phase 3,Sohna Road,3,107
DLF Phase 5,Sohna Road,5,70
DLF Phase 5,Golf Course Road,8,99
Sohna Road,Golf Course Road,12,138
Sohna Road,Udyog Vihar,3,72
Golf Course Road,Udyog Vihar,9,78
Golf Course Road,Manesar,11,54
Udyog Vihar,Manesar,15,58
Udyog Vihar,Sector 56 Gurgaon,9,135
Manesar,Sector 56 Gurgaon,3,63
Manesar,Sector 29 Gurgaon,12,64
Sector 56 Gurgaon,Sector 29 Gurgaon,5,116
Sector 56 Gurgaon,Palam Vihar,8,84
Sector 29 Gurgaon,Palam Vihar,9,61
Sector 29 Gurgaon,Dwarka Expressway,6,99
Palam Vihar,Dwarka Expressway,7,133
Palam Vihar,New Ashok Nagar,10,92
Dwarka Expressway,New Ashok Nagar,15,104
